"u1","AFL_given_AIG_0%","AFL_given_AIG_10%","AFL_given_AIG_20%","AFL_given_AIG_30%","AFL_given_AIG_40%","AFL_given_AIG_50%","AFL_given_AIG_60%","AFL_given_AIG_70%","AFL_given_AIG_80%","AFL_given_AIG_90%","AFL_given_AIG_100%"
0.353535353535354,0.00167838539077283,0.0441493701935334,0.0960059858231007,0.137580229025835,0.168543577732739,0.197183377479722,0.227398891626959,0.262782714416721,0.291964349521326,0.322716486126842,0.359913828539032
0.363636363636364,0.00170295181132408,0.0451035065592554,0.0982826346843061,0.14098619779538,0.172818657328083,0.202279729564141,0.233377356051719,0.269812121878385,0.299873484015807,0.331564177474458,0.369911148116953
0.373737373737374,0.00172717172152422,0.0460513231614941,0.100549342443659,0.144381108372644,0.177082651950715,0.207365500374057,0.239346265632218,0.276833763779136,0.307776766735279,0.340408431256835,0.379908459132921
0.383838383838384,0.00175105838829943,0.0469930115990754,0.1028063865657,0.147765256192782,0.181335850020036,0.212440959390171,0.245305858834692,0.283847829839552,0.31567433836608,0.349249328829679,0.389905761786026
0.393939393939394,0.00177462425324161,0.0479287530074662,0.105054029973549,0.151138921523925,0.185578525326478,0.217506362554905,0.251256362250802,0.290854500418865,0.323566332699382,0.358086947587179,0.399903056265733
0.404040404040404,0.00179788100292077,0.0488587188744724,0.107292522152686,0.154502370603455,0.189810938119182,0.222561953273003,0.257197991470461,0.297853947199206,0.331452877133092,0.366921361249229,0.409900342752577
0.414141414141414,0.001820839631662,0.0497830717741513,0.109522100146189,0.157855856663598,0.194033336088306,0.227607963315608,0.263130951870805,0.304846333804356,0.339334093125866,0.375752640121317,0.419897621418788
0.424242424242424,0.00184351049775278,0.0507019660288797,0.111742989454431,0.161199620859499,0.198245955254425,0.232644613639194,0.269055439331149,0.311831816360695,0.347210096608823,0.384580851330277,0.429894892428871
0.434343434343434,0.00186590337390349,0.0516155483081102,0.113955404850411,0.164533893111075,0.202449020775774,0.237672115129177,0.274971640882437,0.318810544006954,0.355080998359799,0.393406059038643,0.439892155940114
0.444444444444444,0.00188802749266427,0.0525239581711631,0.116159551120348,0.167858892868461,0.206642747682611,0.242690669276677,0.280879735298547,0.325782659358521,0.36294690434433,0.402228324640009,0.449889412103068
0.454545454545455,0.00190989158740219,0.0534273285604047,0.118355623737919,0.171174829809498,0.210827341546751,0.247700468795795,0.28677989363582,0.33274829893125,0.370807916026984,0.411047706937442,0.459886661061979
0.464646464646465,0.0019315039293587,0.0543257862503223,0.120543809479364,0.174481904476658,0.215002999093281,0.252701698187815,0.292672279726391,0.339707593529128,0.37866413065623,0.419864262306776,0.469883902955179
0.474747474747475,0.00195287236123678,0.0552194522572883,0.122724286985813,0.177780308859828,0.219169908760566,0.257694534257923,0.298557050630158,0.346660668599578,0.38651564152558,0.428678044846348,0.479881137915458
0.484848484848485,0.00197400432770758,0.0561084422141976,0.124897227278351,0.181070226930592,0.223328251213909,0.26267914658934,0.304434357049659,0.353607644559717,0.39436253821346,0.437489106514563,0.489878366070384
0.494949494949495,0.00199490690317553,0.0569928667136408,0.127062794230679,0.18435183513295,0.227478199817559,0.267655697979189,0.310304343711597,0.360548637096491,0.402204906803933,0.44629749725652,0.499875587542627
